depth_from_entrance_A,fraction_PN1,fraction_PN2,fraction_PC1,fraction_PC2
20.76,0.000,0.000,0.719,0.281
20.90,0.000,0.000,0.716,0.284
21.04,0.000,0.000,0.712,0.288
21.17,0.000,0.000,0.711,0.289
21.29,0.000,0.000,0.709,0.291
21.42,0.000,0.000,0.708,0.292
21.55,0.000,0.000,0.706,0.294
21.69,0.000,0.000,0.705,0.295
21.84,0.000,0.000,0.703,0.297
21.99,0.000,0.000,0.701,0.299
22.12,0.000,0.000,0.699,0.301
22.25,0.000,0.000,0.696,0.304
22.38,0.000,0.000,0.694,0.306
22.50,0.000,0.000,0.691,0.309
22.61,0.000,0.000,0.688,0.312
22.73,0.000,0.000,0.686,0.314
22.85,0.000,0.000,0.683,0.317
22.97,0.000,0.000,0.679,0.321
23.09,0.000,0.000,0.676,0.324
23.23,0.000,0.000,0.672,0.328
23.37,0.000,0.000,0.669,0.331
23.51,0.000,0.000,0.666,0.334
23.63,0.000,0.000,0.662,0.338
23.74,0.000,0.000,0.658,0.342
23.86,0.000,0.000,0.654,0.346
23.97,0.000,0.000,0.650,0.350
24.09,0.000,0.000,0.646,0.354
24.21,0.000,0.000,0.642,0.358
24.33,0.000,0.000,0.637,0.363
24.45,0.000,0.000,0.633,0.367
24.57,0.000,0.000,0.628,0.372
24.70,0.000,0.000,0.624,0.376
24.83,0.000,0.000,0.619,0.381
24.95,0.000,0.000,0.615,0.385
25.08,0.000,0.000,0.612,0.388
25.21,0.000,0.000,0.609,0.391
25.34,0.000,0.000,0.606,0.394
25.47,0.000,0.000,0.604,0.396
25.59,0.000,0.000,0.602,0.398
25.71,0.000,0.000,0.602,0.398
25.84,0.000,0.000,0.601,0.399
25.96,0.000,0.000,0.601,0.399
26.10,0.000,0.000,0.601,0.399
26.23,0.000,0.000,0.602,0.398
26.37,0.000,0.000,0.604,0.396
26.49,0.000,0.000,0.605,0.395
26.62,0.000,0.000,0.607,0.393
26.74,0.000,0.000,0.610,0.390
26.87,0.000,0.000,0.614,0.386
27.00,0.000,0.000,0.618,0.382
27.14,0.000,0.000,0.622,0.378
27.28,0.000,0.000,0.626,0.374
27.42,0.000,0.000,0.631,0.369
27.54,0.000,0.000,0.636,0.364
27.66,0.000,0.000,0.642,0.358
27.79,0.000,0.000,0.649,0.351
27.91,0.000,0.000,0.654,0.346
28.03,0.000,0.000,0.661,0.339
28.14,0.000,0.000,0.667,0.333
28.25,0.000,0.000,0.672,0.328
28.36,0.000,0.000,0.677,0.323
28.51,0.000,0.000,0.682,0.318
28.65,0.000,0.000,0.686,0.314
28.79,0.000,0.000,0.689,0.311
28.93,0.000,0.000,0.691,0.309
29.07,0.000,0.000,0.693,0.307
29.21,0.000,0.000,0.696,0.304
29.34,0.000,0.000,0.698,0.302
29.46,0.000,0.000,0.700,0.300
29.59,0.000,0.000,0.700,0.300
29.71,0.000,0.000,0.701,0.299
29.83,0.000,0.000,0.700,0.300
29.95,0.000,0.000,0.699,0.301
30.09,0.000,0.000,0.697,0.303
30.23,0.000,0.000,0.694,0.306
30.37,0.000,0.000,0.691,0.309
30.51,0.000,0.000,0.688,0.312
30.64,0.000,0.000,0.684,0.316
30.78,0.000,0.000,0.680,0.320
30.88,0.000,0.000,0.675,0.325
30.99,0.000,0.000,0.670,0.330
31.10,0.000,0.000,0.665,0.335
31.21,0.000,0.000,0.659,0.341
31.33,0.000,0.000,0.654,0.346
31.44,0.000,0.000,0.648,0.352
31.56,0.000,0.000,0.642,0.358
31.67,0.000,0.000,0.636,0.364
31.78,0.000,0.000,0.631,0.369
31.90,0.000,0.000,0.626,0.374
32.01,0.000,0.000,0.621,0.379
32.13,0.000,0.000,0.615,0.385
32.25,0.000,0.000,0.608,0.392
32.37,0.000,0.000,0.601,0.399
32.49,0.000,0.000,0.595,0.405
32.62,0.000,0.000,0.588,0.412
32.74,0.000,0.000,0.582,0.418
32.87,0.000,0.000,0.577,0.423
33.00,0.000,0.000,0.571,0.429
33.13,0.000,0.000,0.565,0.435
33.26,0.000,0.000,0.559,0.441
33.40,0.000,0.000,0.554,0.446
33.53,0.000,0.000,0.549,0.451
33.67,0.000,0.000,0.543,0.457
33.80,0.000,0.000,0.537,0.463
33.94,0.000,0.000,0.531,0.469
34.07,0.000,0.000,0.524,0.476
34.20,0.000,0.000,0.519,0.481
34.33,0.000,0.000,0.513,0.487
34.46,0.000,0.000,0.508,0.492
34.58,0.000,0.000,0.502,0.498
34.71,0.000,0.000,0.497,0.503
34.83,0.000,0.000,0.491,0.509
34.95,0.000,0.000,0.484,0.516
35.07,0.000,0.000,0.477,0.523
35.19,0.000,0.000,0.468,0.532
35.31,0.000,0.000,0.460,0.540
35.43,0.000,0.000,0.451,0.549
35.55,0.000,0.000,0.441,0.559
35.68,0.000,0.000,0.431,0.569
35.80,0.000,0.000,0.422,0.578
35.92,0.000,0.000,0.413,0.587
36.06,0.000,0.000,0.404,0.596
36.19,0.001,0.000,0.395,0.604
36.32,0.002,0.000,0.387,0.611
36.47,0.003,0.000,0.379,0.618
36.61,0.006,0.000,0.370,0.624
36.76,0.008,0.000,0.361,0.631
36.90,0.010,0.000,0.355,0.635
37.04,0.013,0.000,0.348,0.639
37.18,0.016,0.000,0.342,0.643
37.32,0.018,0.000,0.336,0.645
37.46,0.022,0.000,0.330,0.648
37.60,0.029,0.000,0.323,0.649
37.71,0.035,0.000,0.316,0.649
37.83,0.043,0.000,0.309,0.648
37.94,0.052,0.000,0.302,0.646
38.05,0.061,0.000,0.294,0.645
38.20,0.071,0.000,0.288,0.641
38.34,0.083,0.000,0.282,0.635
38.48,0.094,0.000,0.277,0.629
38.60,0.106,0.000,0.273,0.622
38.71,0.117,0.000,0.269,0.614
38.83,0.129,0.000,0.266,0.605
38.95,0.141,0.000,0.262,0.597
39.09,0.154,0.000,0.258,0.588
39.23,0.168,0.000,0.253,0.579
39.36,0.182,0.000,0.249,0.569
39.50,0.195,0.000,0.244,0.560
39.64,0.209,0.000,0.239,0.551
39.77,0.224,0.000,0.234,0.542
39.90,0.239,0.000,0.230,0.531
