structure,chain,pocket_id,volume_A3,score,druggability,mean_local_hydrophobic_density,apolar_alpha_sphere_prop,DBP_overlap,PBP_overlap,n_lining_res
Amp_MexB_20260826,E,229,1453,-0.635,0.878,87.68,0.818,13,11,32
Amp_MexB_20260826,F,10,153,0.037,0.006,29.00,0.882,6,2,9
Amp_MexB_20260826,F,215,1572,-0.383,0.079,26.00,0.413,5,4,41
Amp_MexB_20260826,D,233,3266,-1.379,0.003,34.40,0.324,5,7,72
Amp_MexB_20260826,F,8,91,0.040,0.001,15.00,0.941,4,0,9
MexB_DDM_3_20260730,E,1,5647,2.221,0.909,60.95,0.413,10,8,118
MexB_DDM_3_20260730,E,81,591,-0.119,0.217,32.36,0.506,7,6,18
MexB_DDM_3_20260730,D,209,3967,-1.214,0.340,47.21,0.344,5,8,93
MexB_DDM_3_20260730,F,207,2764,-0.853,0.000,11.10,0.148,3,8,69
