pdb,chain,ligand,depth_from_ligand_A,radius_A,enclosure_atoms_12A,kept
2V50,B,DDM,28.53,2.50,238,yes
2V50,B,DDM,28.66,2.47,239,yes
2V50,B,DDM,28.79,2.44,240,yes
2V50,B,DDM,28.92,2.42,243,yes
2V50,B,DDM,29.06,2.41,244,yes
2V50,B,DDM,29.19,2.39,236,yes
2V50,B,DDM,29.32,2.38,235,yes
2V50,B,DDM,29.46,2.38,235,yes
2V50,B,DDM,29.61,2.37,238,yes
2V50,B,DDM,29.76,2.38,236,yes
2V50,B,DDM,29.91,2.39,233,yes
2V50,B,DDM,30.06,2.40,234,yes
2V50,B,DDM,30.19,2.42,234,yes
2V50,B,DDM,30.33,2.45,233,yes
2V50,B,DDM,30.47,2.48,232,yes
2V50,B,DDM,30.61,2.51,232,yes
2V50,B,DDM,30.75,2.55,235,yes
2V50,B,DDM,30.88,2.59,235,yes
2V50,B,DDM,31.02,2.64,233,yes
2V50,B,DDM,31.16,2.69,235,yes
2V50,B,DDM,31.29,2.74,238,yes
2V50,B,DDM,31.43,2.80,238,yes
2V50,B,DDM,31.57,2.86,239,yes
2V50,B,DDM,31.70,2.91,241,yes
2V50,B,DDM,31.84,2.96,242,yes
2V50,B,DDM,31.97,3.02,241,yes
2V50,B,DDM,32.11,3.08,242,yes
2V50,B,DDM,32.24,3.11,247,yes
2V50,B,DDM,32.37,3.12,251,yes
2V50,B,DDM,32.50,3.12,250,yes
2V50,B,DDM,32.63,3.13,250,yes
2V50,B,DDM,32.76,3.14,253,yes
2V50,B,DDM,32.89,3.15,253,yes
2V50,B,DDM,33.03,3.16,254,yes
2V50,B,DDM,33.16,3.17,253,yes
2V50,B,DDM,33.30,3.18,254,yes
2V50,B,DDM,33.43,3.20,254,yes
2V50,B,DDM,33.57,3.22,257,yes
2V50,B,DDM,33.71,3.24,256,yes
2V50,B,DDM,33.84,3.26,256,yes
2V50,B,DDM,33.98,3.29,259,yes
2V50,B,DDM,34.12,3.32,260,yes
2V50,B,DDM,34.26,3.35,262,yes
2V50,B,DDM,34.40,3.38,263,yes
2V50,B,DDM,34.55,3.42,262,yes
2V50,B,DDM,34.69,3.46,261,yes
2V50,B,DDM,34.83,3.50,261,yes
2V50,B,DDM,34.96,3.56,256,yes
2V50,B,DDM,35.08,3.62,256,yes
2V50,B,DDM,35.21,3.63,254,yes
2V50,B,DDM,35.34,3.64,251,yes
2V50,B,DDM,35.46,3.65,253,yes
2V50,B,DDM,35.59,3.66,252,yes
2V50,B,DDM,35.72,3.66,254,yes
2V50,B,DDM,35.85,3.66,255,yes
2V50,B,DDM,35.98,3.67,250,yes
2V50,B,DDM,36.11,3.68,249,yes
2V50,B,DDM,36.25,3.70,251,yes
2V50,B,DDM,36.38,3.71,251,yes
2V50,B,DDM,36.51,3.72,250,yes
2V50,B,DDM,36.65,3.73,252,yes
2V50,B,DDM,36.79,3.75,251,yes
2V50,B,DDM,36.92,3.77,250,yes
2V50,B,DDM,37.06,3.79,248,yes
2V50,B,DDM,37.20,3.82,249,yes
2V50,B,DDM,37.34,3.84,249,yes
2V50,B,DDM,37.48,3.87,250,yes
2V50,B,DDM,37.62,3.90,249,yes
2V50,B,DDM,37.77,3.93,246,yes
2V50,B,DDM,37.91,3.97,248,yes
2V50,B,DDM,38.04,3.98,248,yes
2V50,B,DDM,38.17,3.99,248,yes
2V50,B,DDM,38.29,4.00,247,yes
2V50,B,DDM,38.42,4.01,246,yes
2V50,B,DDM,38.55,4.00,243,yes
2V50,B,DDM,38.68,3.98,241,yes
2V50,B,DDM,38.81,3.94,240,yes
2V50,B,DDM,38.89,3.89,240,yes
2V50,B,DDM,38.98,3.84,238,yes
2V50,B,DDM,39.06,3.84,239,yes
2V50,B,DDM,39.19,3.85,240,yes
2V50,B,DDM,39.32,3.86,239,yes
2V50,B,DDM,39.44,3.85,239,yes
2V50,B,DDM,39.56,3.83,237,yes
2V50,B,DDM,39.68,3.82,239,yes
2V50,B,DDM,39.81,3.81,238,yes
2V50,B,DDM,39.93,3.79,236,yes
2V50,B,DDM,40.06,3.77,233,yes
2V50,B,DDM,40.19,3.75,229,yes
2V50,B,DDM,40.31,3.74,229,yes
2V50,B,DDM,40.44,3.72,231,yes
2V50,B,DDM,40.58,3.70,233,yes
2V50,B,DDM,40.71,3.67,232,yes
2V50,B,DDM,40.85,3.65,234,yes
2V50,B,DDM,40.99,3.64,234,yes
2V50,B,DDM,41.13,3.62,233,yes
2V50,B,DDM,41.25,3.62,231,yes
2V50,B,DDM,41.38,3.61,231,yes
2V50,B,DDM,41.50,3.60,231,yes
2V50,B,DDM,41.63,3.59,235,yes
2V50,B,DDM,41.75,3.59,239,yes
2V50,B,DDM,41.89,3.58,239,yes
2V50,B,DDM,42.02,3.57,237,yes
2V50,B,DDM,42.16,3.57,238,yes
2V50,B,DDM,42.30,3.57,235,yes
2V50,B,DDM,42.43,3.56,234,yes
2V50,B,DDM,42.56,3.55,236,yes
2V50,B,DDM,42.69,3.55,234,yes
2V50,B,DDM,42.82,3.55,234,yes
2V50,B,DDM,42.96,3.54,237,yes
2V50,B,DDM,43.10,3.54,237,yes
2V50,B,DDM,43.24,3.54,235,yes
2V50,B,DDM,43.38,3.54,232,yes
2V50,B,DDM,43.52,3.54,231,yes
2V50,B,DDM,43.65,3.54,229,yes
2V50,B,DDM,43.79,3.55,229,yes
2V50,B,DDM,43.92,3.56,229,yes
2V50,B,DDM,44.06,3.57,230,yes
2V50,B,DDM,44.21,3.58,228,yes
2V50,B,DDM,44.35,3.59,224,yes
2V50,B,DDM,44.50,3.61,223,yes
2V50,B,DDM,44.65,3.64,221,yes
2V50,B,DDM,44.80,3.66,219,yes
2V50,B,DDM,44.93,3.69,215,yes
2V50,B,DDM,45.07,3.73,211,yes
2V50,B,DDM,45.21,3.76,213,yes
2V50,B,DDM,45.35,3.80,214,yes
2V50,B,DDM,45.49,3.84,214,yes
2V50,B,DDM,45.63,3.89,212,yes
2V50,B,DDM,45.76,3.91,210,yes
2V50,B,DDM,45.90,3.94,206,yes
2V50,B,DDM,46.03,3.97,205,yes
2V50,B,DDM,46.17,3.97,203,yes
2V50,B,DDM,46.32,3.97,200,no
2V50,B,DDM,46.46,3.97,199,no
2V50,B,DDM,46.59,3.95,198,no
2V50,B,DDM,46.73,3.93,198,no
2V50,B,DDM,46.86,3.92,199,no
2V50,B,DDM,46.98,3.90,195,no
2V50,B,DDM,47.10,3.89,196,no
2V50,B,DDM,47.21,3.87,197,no
2V50,B,DDM,47.33,3.86,197,no
2V50,B,DDM,47.46,3.84,200,no
2V50,B,DDM,47.59,3.83,197,no
2V50,B,DDM,47.72,3.82,193,no
2V50,B,DDM,47.84,3.81,195,no
2V50,B,DDM,47.97,3.80,193,no
2V50,B,DDM,48.11,3.79,194,no
2V50,B,DDM,48.25,3.78,196,no
2V50,B,DDM,48.38,3.77,193,no
2V50,B,DDM,48.52,3.77,195,no
2V50,B,DDM,48.66,3.77,193,no
2V50,B,DDM,48.80,3.78,193,no
2V50,B,DDM,48.94,3.78,193,no
2V50,B,DDM,49.09,3.78,194,no
2V50,B,DDM,49.24,3.79,194,no
2V50,B,DDM,49.38,3.80,195,no
2V50,B,DDM,49.53,3.79,194,no
2V50,B,DDM,49.68,3.78,194,no
2V50,B,DDM,49.82,3.73,194,no
2V50,B,DDM,49.97,3.69,191,no
2V50,B,DDM,50.11,3.64,190,no
2V50,B,DDM,50.26,3.60,190,no
2V50,B,DDM,50.40,3.57,188,no
2V50,B,DDM,50.55,3.54,189,no
2V50,B,DDM,50.68,3.47,188,no
2V50,B,DDM,50.82,3.41,191,no
2V50,B,DDM,50.96,3.35,191,no
2V50,B,DDM,51.10,3.29,194,no
2V50,B,DDM,51.23,3.22,190,no
2V50,B,DDM,51.37,3.14,190,no
2V50,B,DDM,51.51,3.07,189,no
MexB_DDM_3_20260730,E,DDM x3,0.00,3.41,251,yes
MexB_DDM_3_20260730,E,DDM x3,0.14,3.53,248,yes
MexB_DDM_3_20260730,E,DDM x3,0.27,3.64,243,yes
MexB_DDM_3_20260730,E,DDM x3,0.41,3.76,241,yes
MexB_DDM_3_20260730,E,DDM x3,0.55,3.88,242,yes
MexB_DDM_3_20260730,E,DDM x3,0.69,3.98,245,yes
MexB_DDM_3_20260730,E,DDM x3,0.82,4.09,245,yes
MexB_DDM_3_20260730,E,DDM x3,0.96,4.19,241,yes
MexB_DDM_3_20260730,E,DDM x3,1.11,4.26,240,yes
MexB_DDM_3_20260730,E,DDM x3,1.25,4.33,239,yes
MexB_DDM_3_20260730,E,DDM x3,1.34,4.34,238,yes
MexB_DDM_3_20260730,E,DDM x3,1.42,4.34,239,yes
MexB_DDM_3_20260730,E,DDM x3,1.50,4.32,237,yes
MexB_DDM_3_20260730,E,DDM x3,1.58,4.30,235,yes
MexB_DDM_3_20260730,E,DDM x3,1.70,4.27,235,yes
MexB_DDM_3_20260730,E,DDM x3,1.81,4.24,234,yes
MexB_DDM_3_20260730,E,DDM x3,1.95,4.20,237,yes
MexB_DDM_3_20260730,E,DDM x3,2.10,4.16,237,yes
MexB_DDM_3_20260730,E,DDM x3,2.22,4.13,237,yes
MexB_DDM_3_20260730,E,DDM x3,2.34,4.10,232,yes
MexB_DDM_3_20260730,E,DDM x3,2.46,4.08,232,yes
MexB_DDM_3_20260730,E,DDM x3,2.59,4.06,234,yes
MexB_DDM_3_20260730,E,DDM x3,2.72,4.04,236,yes
MexB_DDM_3_20260730,E,DDM x3,2.85,4.02,237,yes
MexB_DDM_3_20260730,E,DDM x3,2.98,4.01,239,yes
MexB_DDM_3_20260730,E,DDM x3,3.11,3.99,238,yes
MexB_DDM_3_20260730,E,DDM x3,3.24,3.99,234,yes
MexB_DDM_3_20260730,E,DDM x3,3.37,3.99,234,yes
MexB_DDM_3_20260730,E,DDM x3,3.50,3.98,238,yes
MexB_DDM_3_20260730,E,DDM x3,3.63,3.98,240,yes
MexB_DDM_3_20260730,E,DDM x3,3.76,3.98,242,yes
MexB_DDM_3_20260730,E,DDM x3,3.90,3.98,242,yes
MexB_DDM_3_20260730,E,DDM x3,4.03,3.99,239,yes
MexB_DDM_3_20260730,E,DDM x3,4.17,4.01,236,yes
MexB_DDM_3_20260730,E,DDM x3,4.32,4.03,237,yes
MexB_DDM_3_20260730,E,DDM x3,4.46,4.05,234,yes
MexB_DDM_3_20260730,E,DDM x3,4.61,4.07,235,yes
MexB_DDM_3_20260730,E,DDM x3,4.76,4.09,236,yes
MexB_DDM_3_20260730,E,DDM x3,4.91,4.11,241,yes
MexB_DDM_3_20260730,E,DDM x3,5.06,4.13,239,yes
MexB_DDM_3_20260730,E,DDM x3,5.21,4.15,240,yes
MexB_DDM_3_20260730,E,DDM x3,5.36,4.17,241,yes
MexB_DDM_3_20260730,E,DDM x3,5.49,4.18,241,yes
MexB_DDM_3_20260730,E,DDM x3,5.63,4.20,241,yes
MexB_DDM_3_20260730,E,DDM x3,5.77,4.21,243,yes
MexB_DDM_3_20260730,E,DDM x3,5.88,4.22,244,yes
MexB_DDM_3_20260730,E,DDM x3,6.00,4.23,244,yes
MexB_DDM_3_20260730,E,DDM x3,6.12,4.24,245,yes
MexB_DDM_3_20260730,E,DDM x3,6.24,4.24,244,yes
MexB_DDM_3_20260730,E,DDM x3,6.36,4.25,244,yes
MexB_DDM_3_20260730,E,DDM x3,6.50,4.24,248,yes
MexB_DDM_3_20260730,E,DDM x3,6.63,4.22,249,yes
MexB_DDM_3_20260730,E,DDM x3,6.73,4.19,248,yes
MexB_DDM_3_20260730,E,DDM x3,6.84,4.15,250,yes
MexB_DDM_3_20260730,E,DDM x3,6.96,4.09,251,yes
MexB_DDM_3_20260730,E,DDM x3,7.08,4.03,247,yes
MexB_DDM_3_20260730,E,DDM x3,7.20,3.98,246,yes
MexB_DDM_3_20260730,E,DDM x3,7.32,3.92,246,yes
MexB_DDM_3_20260730,E,DDM x3,7.44,3.86,244,yes
MexB_DDM_3_20260730,E,DDM x3,7.55,3.81,241,yes
MexB_DDM_3_20260730,E,DDM x3,7.67,3.74,242,yes
MexB_DDM_3_20260730,E,DDM x3,7.80,3.67,239,yes
MexB_DDM_3_20260730,E,DDM x3,7.94,3.60,239,yes
MexB_DDM_3_20260730,E,DDM x3,8.07,3.53,238,yes
MexB_DDM_3_20260730,E,DDM x3,8.20,3.47,240,yes
MexB_DDM_3_20260730,E,DDM x3,8.33,3.41,243,yes
MexB_DDM_3_20260730,E,DDM x3,8.46,3.36,239,yes
MexB_DDM_3_20260730,E,DDM x3,8.59,3.30,237,yes
MexB_DDM_3_20260730,E,DDM x3,8.72,3.26,234,yes
MexB_DDM_3_20260730,E,DDM x3,8.84,3.21,234,yes
MexB_DDM_3_20260730,E,DDM x3,8.96,3.17,233,yes
MexB_DDM_3_20260730,E,DDM x3,9.08,3.14,237,yes
MexB_DDM_3_20260730,E,DDM x3,9.20,3.10,234,yes
MexB_DDM_3_20260730,E,DDM x3,9.34,3.07,232,yes
MexB_DDM_3_20260730,E,DDM x3,9.49,3.03,231,yes
MexB_DDM_3_20260730,E,DDM x3,9.63,3.00,229,yes
MexB_DDM_3_20260730,E,DDM x3,9.75,2.98,228,yes
MexB_DDM_3_20260730,E,DDM x3,9.88,2.96,228,yes
MexB_DDM_3_20260730,E,DDM x3,10.01,2.94,223,yes
MexB_DDM_3_20260730,E,DDM x3,10.13,2.93,222,yes
MexB_DDM_3_20260730,E,DDM x3,10.25,2.92,221,yes
MexB_DDM_3_20260730,E,DDM x3,10.38,2.92,223,yes
MexB_DDM_3_20260730,E,DDM x3,10.50,2.92,227,yes
MexB_DDM_3_20260730,E,DDM x3,10.63,2.92,224,yes
MexB_DDM_3_20260730,E,DDM x3,10.75,2.92,228,yes
MexB_DDM_3_20260730,E,DDM x3,10.89,2.94,226,yes
MexB_DDM_3_20260730,E,DDM x3,11.03,2.95,223,yes
MexB_DDM_3_20260730,E,DDM x3,11.16,2.97,222,yes
MexB_DDM_3_20260730,E,DDM x3,11.31,2.99,224,yes
MexB_DDM_3_20260730,E,DDM x3,11.46,3.02,227,yes
MexB_DDM_3_20260730,E,DDM x3,11.61,3.05,224,yes
MexB_DDM_3_20260730,E,DDM x3,11.73,3.07,226,yes
MexB_DDM_3_20260730,E,DDM x3,11.84,3.10,223,yes
MexB_DDM_3_20260730,E,DDM x3,11.96,3.14,222,yes
MexB_DDM_3_20260730,E,DDM x3,12.07,3.17,219,yes
MexB_DDM_3_20260730,E,DDM x3,12.22,3.23,221,yes
MexB_DDM_3_20260730,E,DDM x3,12.37,3.28,221,yes
MexB_DDM_3_20260730,E,DDM x3,12.52,3.35,225,yes
MexB_DDM_3_20260730,E,DDM x3,12.65,3.40,225,yes
MexB_DDM_3_20260730,E,DDM x3,12.78,3.45,223,yes
MexB_DDM_3_20260730,E,DDM x3,12.91,3.50,228,yes
MexB_DDM_3_20260730,E,DDM x3,13.01,3.54,229,yes
MexB_DDM_3_20260730,E,DDM x3,13.11,3.59,229,yes
MexB_DDM_3_20260730,E,DDM x3,13.22,3.64,230,yes
MexB_DDM_3_20260730,E,DDM x3,13.35,3.71,232,yes
MexB_DDM_3_20260730,E,DDM x3,13.49,3.77,231,yes
MexB_DDM_3_20260730,E,DDM x3,13.60,3.81,233,yes
MexB_DDM_3_20260730,E,DDM x3,13.70,3.84,232,yes
MexB_DDM_3_20260730,E,DDM x3,13.81,3.88,233,yes
MexB_DDM_3_20260730,E,DDM x3,13.94,3.92,234,yes
MexB_DDM_3_20260730,E,DDM x3,14.08,3.95,236,yes
MexB_DDM_3_20260730,E,DDM x3,14.21,3.98,237,yes
MexB_DDM_3_20260730,E,DDM x3,14.36,4.02,233,yes
MexB_DDM_3_20260730,E,DDM x3,14.51,4.05,228,yes
MexB_DDM_3_20260730,E,DDM x3,14.65,4.08,228,yes
MexB_DDM_3_20260730,E,DDM x3,14.78,4.11,229,yes
MexB_DDM_3_20260730,E,DDM x3,14.91,4.14,232,yes
MexB_DDM_3_20260730,E,DDM x3,15.04,4.18,235,yes
MexB_DDM_3_20260730,E,DDM x3,15.15,4.20,235,yes
MexB_DDM_3_20260730,E,DDM x3,15.26,4.22,238,yes
MexB_DDM_3_20260730,E,DDM x3,15.37,4.25,236,yes
MexB_DDM_3_20260730,E,DDM x3,15.49,4.26,239,yes
MexB_DDM_3_20260730,E,DDM x3,15.61,4.27,242,yes
MexB_DDM_3_20260730,E,DDM x3,15.73,4.29,246,yes
MexB_DDM_3_20260730,E,DDM x3,15.85,4.28,246,yes
MexB_DDM_3_20260730,E,DDM x3,15.97,4.28,247,yes
MexB_DDM_3_20260730,E,DDM x3,16.08,4.28,250,yes
MexB_DDM_3_20260730,E,DDM x3,16.20,4.28,249,yes
MexB_DDM_3_20260730,E,DDM x3,16.34,4.27,247,yes
MexB_DDM_3_20260730,E,DDM x3,16.48,4.26,246,yes
MexB_DDM_3_20260730,E,DDM x3,16.63,4.25,246,yes
MexB_DDM_3_20260730,E,DDM x3,16.77,4.25,246,yes
MexB_DDM_3_20260730,E,DDM x3,16.92,4.23,246,yes
MexB_DDM_3_20260730,E,DDM x3,17.07,4.22,248,yes
MexB_DDM_3_20260730,E,DDM x3,17.21,4.21,247,yes
MexB_DDM_3_20260730,E,DDM x3,17.36,4.20,247,yes
MexB_DDM_3_20260730,E,DDM x3,17.50,4.20,251,yes
MexB_DDM_3_20260730,E,DDM x3,17.65,4.19,256,yes
MexB_DDM_3_20260730,E,DDM x3,17.79,4.20,256,yes
MexB_DDM_3_20260730,E,DDM x3,17.93,4.20,257,yes
MexB_DDM_3_20260730,E,DDM x3,18.06,4.20,258,yes
MexB_DDM_3_20260730,E,DDM x3,18.19,4.20,258,yes
MexB_DDM_3_20260730,E,DDM x3,18.32,4.19,256,yes
MexB_DDM_3_20260730,E,DDM x3,18.45,4.18,263,yes
MexB_DDM_3_20260730,E,DDM x3,18.60,4.16,262,yes
MexB_DDM_3_20260730,E,DDM x3,18.75,4.13,268,yes
MexB_DDM_3_20260730,E,DDM x3,18.90,4.12,266,yes
MexB_DDM_3_20260730,E,DDM x3,19.02,4.08,267,yes
MexB_DDM_3_20260730,E,DDM x3,19.14,4.04,269,yes
MexB_DDM_3_20260730,E,DDM x3,19.25,4.00,272,yes
MexB_DDM_3_20260730,E,DDM x3,19.35,3.96,273,yes
MexB_DDM_3_20260730,E,DDM x3,19.45,3.92,274,yes
MexB_DDM_3_20260730,E,DDM x3,19.56,3.88,275,yes
MexB_DDM_3_20260730,E,DDM x3,19.57,3.88,274,yes
MexB_DDM_3_20260730,E,DDM x3,19.68,3.94,275,yes
MexB_DDM_3_20260730,E,DDM x3,19.79,3.96,273,yes
MexB_DDM_3_20260730,E,DDM x3,19.90,3.99,272,yes
MexB_DDM_3_20260730,E,DDM x3,20.01,4.01,268,yes
MexB_DDM_3_20260730,E,DDM x3,20.14,4.03,269,yes
MexB_DDM_3_20260730,E,DDM x3,20.27,4.04,272,yes
MexB_DDM_3_20260730,E,DDM x3,20.39,4.06,272,yes
MexB_DDM_3_20260730,E,DDM x3,20.52,4.08,272,yes
MexB_DDM_3_20260730,E,DDM x3,20.64,4.09,274,yes
MexB_DDM_3_20260730,E,DDM x3,20.77,4.10,275,yes
MexB_DDM_3_20260730,E,DDM x3,20.90,4.12,276,yes
MexB_DDM_3_20260730,E,DDM x3,21.02,4.13,275,yes
MexB_DDM_3_20260730,E,DDM x3,21.15,4.15,275,yes
MexB_DDM_3_20260730,E,DDM x3,21.27,4.14,273,yes
MexB_DDM_3_20260730,E,DDM x3,21.40,4.14,272,yes
MexB_DDM_3_20260730,E,DDM x3,21.53,4.15,275,yes
MexB_DDM_3_20260730,E,DDM x3,21.65,4.15,275,yes
MexB_DDM_3_20260730,E,DDM x3,21.78,4.16,276,yes
MexB_DDM_3_20260730,E,DDM x3,21.90,4.15,279,yes
MexB_DDM_3_20260730,E,DDM x3,22.02,4.15,281,yes
MexB_DDM_3_20260730,E,DDM x3,22.15,4.15,282,yes
MexB_DDM_3_20260730,E,DDM x3,22.27,4.14,280,yes
MexB_DDM_3_20260730,E,DDM x3,22.39,4.14,281,yes
MexB_DDM_3_20260730,E,DDM x3,22.51,4.14,281,yes
MexB_DDM_3_20260730,E,DDM x3,22.64,4.14,281,yes
MexB_DDM_3_20260730,E,DDM x3,22.76,4.14,283,yes
MexB_DDM_3_20260730,E,DDM x3,22.88,4.14,285,yes
MexB_DDM_3_20260730,E,DDM x3,23.01,4.15,287,yes
MexB_DDM_3_20260730,E,DDM x3,23.14,4.14,288,yes
MexB_DDM_3_20260730,E,DDM x3,23.28,4.14,287,yes
MexB_DDM_3_20260730,E,DDM x3,23.42,4.14,291,yes
MexB_DDM_3_20260730,E,DDM x3,23.56,4.15,293,yes
MexB_DDM_3_20260730,E,DDM x3,23.69,4.14,293,yes
MexB_DDM_3_20260730,E,DDM x3,23.82,4.13,292,yes
MexB_DDM_3_20260730,E,DDM x3,23.95,4.12,294,yes
MexB_DDM_3_20260730,E,DDM x3,24.06,4.09,296,yes
MexB_DDM_3_20260730,E,DDM x3,24.16,4.06,297,yes
MexB_DDM_3_20260730,E,DDM x3,24.23,4.01,298,yes
MexB_DDM_3_20260730,E,DDM x3,24.24,4.02,298,yes
MexB_DDM_3_20260730,E,DDM x3,24.30,4.03,298,yes
MexB_DDM_3_20260730,E,DDM x3,24.35,4.06,299,yes
MexB_DDM_3_20260730,E,DDM x3,24.47,4.11,295,yes
MexB_DDM_3_20260730,E,DDM x3,24.59,4.15,294,yes
MexB_DDM_3_20260730,E,DDM x3,24.72,4.19,292,yes
MexB_DDM_3_20260730,E,DDM x3,24.84,4.22,292,yes
MexB_DDM_3_20260730,E,DDM x3,24.97,4.26,292,yes
MexB_DDM_3_20260730,E,DDM x3,25.08,4.26,291,yes
MexB_DDM_3_20260730,E,DDM x3,25.20,4.27,290,yes
MexB_DDM_3_20260730,E,DDM x3,25.31,4.27,288,yes
MexB_DDM_3_20260730,E,DDM x3,25.43,4.28,283,yes
MexB_DDM_3_20260730,E,DDM x3,25.56,4.26,282,yes
MexB_DDM_3_20260730,E,DDM x3,25.69,4.23,283,yes
MexB_DDM_3_20260730,E,DDM x3,25.82,4.21,280,yes
MexB_DDM_3_20260730,E,DDM x3,25.94,4.19,276,yes
MexB_DDM_3_20260730,E,DDM x3,26.06,4.16,276,yes
MexB_DDM_3_20260730,E,DDM x3,26.19,4.13,274,yes
MexB_DDM_3_20260730,E,DDM x3,26.31,4.10,272,yes
MexB_DDM_3_20260730,E,DDM x3,26.43,4.07,272,yes
MexB_DDM_3_20260730,E,DDM x3,26.55,4.04,271,yes
MexB_DDM_3_20260730,E,DDM x3,26.67,4.01,270,yes
MexB_DDM_3_20260730,E,DDM x3,26.79,3.98,269,yes
MexB_DDM_3_20260730,E,DDM x3,26.88,3.96,267,yes
MexB_DDM_3_20260730,E,DDM x3,26.97,3.94,267,yes
MexB_DDM_3_20260730,E,DDM x3,27.08,3.93,263,yes
MexB_DDM_3_20260730,E,DDM x3,27.21,3.95,261,yes
MexB_DDM_3_20260730,E,DDM x3,27.33,3.97,263,yes
MexB_DDM_3_20260730,E,DDM x3,27.46,3.98,261,yes
MexB_DDM_3_20260730,E,DDM x3,27.59,3.98,260,yes
MexB_DDM_3_20260730,E,DDM x3,27.71,4.00,263,yes
MexB_DDM_3_20260730,E,DDM x3,27.84,4.01,262,yes
MexB_DDM_3_20260730,E,DDM x3,27.97,4.00,260,yes
MexB_DDM_3_20260730,E,DDM x3,28.10,3.99,262,yes
MexB_DDM_3_20260730,E,DDM x3,28.24,3.98,263,yes
MexB_DDM_3_20260730,E,DDM x3,28.37,3.97,259,yes
MexB_DDM_3_20260730,E,DDM x3,28.50,3.97,258,yes
MexB_DDM_3_20260730,E,DDM x3,28.63,3.94,257,yes
MexB_DDM_3_20260730,E,DDM x3,28.77,3.92,253,yes
MexB_DDM_3_20260730,E,DDM x3,28.90,3.89,252,yes
MexB_DDM_3_20260730,E,DDM x3,29.03,3.87,249,yes
MexB_DDM_3_20260730,E,DDM x3,29.17,3.86,249,yes
MexB_DDM_3_20260730,E,DDM x3,29.30,3.82,247,yes
MexB_DDM_3_20260730,E,DDM x3,29.43,3.78,247,yes
MexB_DDM_3_20260730,E,DDM x3,29.56,3.75,250,yes
MexB_DDM_3_20260730,E,DDM x3,29.69,3.70,248,yes
MexB_DDM_3_20260730,E,DDM x3,29.82,3.65,247,yes
MexB_DDM_3_20260730,E,DDM x3,29.95,3.61,245,yes
MexB_DDM_3_20260730,E,DDM x3,30.09,3.57,247,yes
MexB_DDM_3_20260730,E,DDM x3,30.23,3.54,242,yes
MexB_DDM_3_20260730,E,DDM x3,30.37,3.51,244,yes
MexB_DDM_3_20260730,E,DDM x3,30.52,3.45,244,yes
MexB_DDM_3_20260730,E,DDM x3,30.67,3.40,243,yes
MexB_DDM_3_20260730,E,DDM x3,30.82,3.35,238,yes
MexB_DDM_3_20260730,E,DDM x3,30.96,3.29,238,yes
MexB_DDM_3_20260730,E,DDM x3,31.10,3.24,238,yes
MexB_DDM_3_20260730,E,DDM x3,31.25,3.19,242,yes
MexB_DDM_3_20260730,E,DDM x3,31.36,3.15,239,yes
MexB_DDM_3_20260730,E,DDM x3,31.47,3.11,239,yes
MexB_DDM_3_20260730,E,DDM x3,31.59,3.07,241,yes
MexB_DDM_3_20260730,E,DDM x3,31.70,3.03,241,yes
MexB_DDM_3_20260730,E,DDM x3,31.83,3.00,241,yes
MexB_DDM_3_20260730,E,DDM x3,31.95,2.96,242,yes
MexB_DDM_3_20260730,E,DDM x3,32.07,2.93,243,yes
MexB_DDM_3_20260730,E,DDM x3,32.20,2.91,246,yes
MexB_DDM_3_20260730,E,DDM x3,32.33,2.88,246,yes
MexB_DDM_3_20260730,E,DDM x3,32.46,2.86,249,yes
MexB_DDM_3_20260730,E,DDM x3,32.59,2.85,248,yes
MexB_DDM_3_20260730,E,DDM x3,32.72,2.83,248,yes
MexB_DDM_3_20260730,E,DDM x3,32.86,2.82,249,yes
MexB_DDM_3_20260730,E,DDM x3,33.00,2.81,252,yes
MexB_DDM_3_20260730,E,DDM x3,33.13,2.80,252,yes
MexB_DDM_3_20260730,E,DDM x3,33.27,2.80,247,yes
MexB_DDM_3_20260730,E,DDM x3,33.40,2.79,251,yes
MexB_DDM_3_20260730,E,DDM x3,33.54,2.78,252,yes
MexB_DDM_3_20260730,E,DDM x3,33.67,2.78,250,yes
MexB_DDM_3_20260730,E,DDM x3,33.81,2.78,254,yes
MexB_DDM_3_20260730,E,DDM x3,33.94,2.77,251,yes
MexB_DDM_3_20260730,E,DDM x3,34.06,2.76,251,yes
MexB_DDM_3_20260730,E,DDM x3,34.19,2.76,251,yes
MexB_DDM_3_20260730,E,DDM x3,34.32,2.76,251,yes
MexB_DDM_3_20260730,E,DDM x3,34.45,2.76,248,yes
MexB_DDM_3_20260730,E,DDM x3,34.58,2.77,246,yes
MexB_DDM_3_20260730,E,DDM x3,34.71,2.77,245,yes
MexB_DDM_3_20260730,E,DDM x3,34.84,2.78,245,yes
MexB_DDM_3_20260730,E,DDM x3,34.98,2.79,247,yes
MexB_DDM_3_20260730,E,DDM x3,35.12,2.79,247,yes
MexB_DDM_3_20260730,E,DDM x3,35.25,2.80,246,yes
MexB_DDM_3_20260730,E,DDM x3,35.39,2.81,247,yes
MexB_DDM_3_20260730,E,DDM x3,35.51,2.80,251,yes
MexB_DDM_3_20260730,E,DDM x3,35.63,2.80,252,yes
MexB_DDM_3_20260730,E,DDM x3,35.76,2.79,248,yes
MexB_DDM_3_20260730,E,DDM x3,35.88,2.79,248,yes
MexB_DDM_3_20260730,E,DDM x3,35.99,2.78,249,yes
